         StudyID                     H                        E                      Mean                      Ie                      Type                     Scale                  Organism
           378                     0.47                     0.422                    70.9                     0.476                    Size                    Linear                   Mammal
           379                     0.47                     0.055                   13.643                    0.062                    Size                    Linear                    Bird
           380                     0.47                    26.309                    33.4                    29.667                    Size                    Linear                   Mammal
           381                     0.47                     5.665                    10.47                    6.388                    Size                    Linear                    Plant
           382                     0.472                    3.936                    0.707                    4.403                    Size                    Linear                    Plant
           383                     0.474                    0.038                    2.226                    0.042                    Size                    Linear                   Insect
           384                     0.477                    0.042                    57.01                    0.046                    Size                    Linear                    Bird
           385                     0.479                    0.222                   60.589                    0.242                    Size                     Count                    Herp
           386                     0.48                     0.061                    193.4                    0.066                    Size                    Linear                   Mammal
           387                     0.48                     0.167                    81.01                    0.18                     Size                    Linear                   Mammal
           388                     0.48                     0.084                    5.69                     0.09                     Size                    Linear                   Insect
           389                     0.48                     0.98                     4.88                     1.062                    Size                    Weight                   Insect
           390                     0.482                    0.978                    19.85                    1.051                    Size                    Linear                    Plant
           391                     0.483                    0.058                    16.61                    0.062                    Size                    Linear                    Bird
           392                     0.485                    0.04                     16.32                    0.042                    Size                    Linear                    Bird
           393                     0.488                    0.058                    2.085                    0.061                    Size                    Linear                   Insect
           394                     0.49                     0.064                   130.27                    0.066                    Size                    Linear                   Mammal
           395                     0.49                     0.122                   111.13                    0.127                    Size                    Linear                   Mammal
           396                     0.49                     0.452                    81.33                    0.47                     Size                    Linear                   Mammal
           397                     0.49                     0.076                   126.74                    0.079                    Size                    Linear                   Mammal
           398                     0.493                    5.396                    9.579                    5.55                     Size                     Liner                    Plant
           399                     0.496                    0.164                    1.756                    0.167                    Size                    Linear                   Insect
           400                     0.498                    7.102                    0.594                    7.162                    Size                    Linear                   Insect
           401                     0.499                    0.126                   20.151                    0.126                    Size                     Count                    Herp
           402                      0.5                     0.103                   150.15                    0.103                    Size                    Linear                   Mammal
           403                      0.5                     0.029                    11.72                    0.029                    Size                    Linear                   Mammal
           404                      0.5                     0.54                     88.95                    0.54                     Size                    Linear                    Fish
           405                     0.503                    0.243                    3.927                    0.24                     Size                    Linear                   Insect
           406                     0.506                    0.29                     8.18                     0.283                    Size                     Count                   Insect
           407                     0.507                    5.789                    3.975                    5.629                    Size                    Linear                    Plant
           408                     0.51                     0.078                   192.15                    0.075                    Size                    Linear                   Mammal
           409                     0.51                     0.391                    9.58                     0.375                    Size                    Linear                    Plant
           410                     0.51                     0.078                   1820.3                    0.075                    Size                    Linear                   Insect
           411                     0.511                    0.056                    2.088                    0.053                    Size                    Linear                   Insect
           412                     0.511                    0.041                    2.227                    0.04                     Size                    Linear                   Insect
           413                     0.514                    0.027                    81.45                    0.025                    Size                    Linear                    Bird
           414                     0.517                    0.65                     9.05                     0.606                    Size                     Count                   Insect
           415                     0.52                     0.593                    66.03                    0.547                    Size                    Linear                   Mammal
           416                     0.52                     0.357                   100.36                    0.329                    Size                    Linear                   Mammal
           417                     0.52                     0.251                    70.49                    0.232                    Size                    Linear                   Mammal
           418                     0.52                     0.07                     6.29                     0.065                    Size                    Linear                   Mammal
           419                     0.52                     0.023                    1.775                    0.021                    Size                    Linear                   Insect
           420                     0.523                    6.145                     NA                      5.605                    Size                    Weight                    Plant
           421                     0.525                    0.036                    8.156                    0.032                    Size                    Linear                    Bird
           422                     0.529                    2.183                    2.624                    1.943                    Size                  Transformed                 Plant
           423                     0.53                     0.075                   131.99                    0.067                    Size                    Linear                   Mammal
           424                     0.53                     0.406                    69.03                    0.36                     Size                    Linear                   Mammal
           425                     0.53                     0.198                   135.16                    0.176                    Size                    Linear                   Mammal
           426                     0.53                     0.082                    81.02                    0.072                    Size                    Linear                    Bird
           427                     0.531                    0.063                    15.85                    0.055                    Size                    Linear                    Bird
           428                     0.534                    0.039                    19.54                    0.034                    Size                    Linear                    Bird
           429                     0.537                    6.255                     9.1                     5.393                    Size                    Weight                   Insect
           430                     0.537                    1.75                      NA                      1.509                    Size                    Weight                    Plant
           431                     0.539                    0.203                    23.18                    0.174                    Size                    Linear                    Plant
           432                     0.539                    0.065                    13.75                    0.056                    Size                    Linear                    Bird
           433                     0.54                     0.029                   167.52                    0.025                    Size                     Count                    Herp
           434                     0.54                     0.042                    7.69                     0.036                    Size                    Linear                   Mammal
           435                     0.54                     0.143                    59.3                     0.122                    Size                    Linear                    Bird
           436                     0.54                     0.043                    0.955                    0.037                    Size                    Linear                   Insect
           437                     0.54                     0.558                     NA                      0.475                    Size                    Weight                   Insect
           438                     0.541                    0.095                    36.94                    0.081                    Size                    Linear                    Bird
           439                     0.542                    0.073                    8.13                     0.061                    Size                    Linear                    Bird
           440                     0.55                     0.843                    9.515                    0.69                     Size                     Count                   Insect
           441                     0.556                    7.595                    7.62                     6.065                    Size                    Weight                   Insect
           442                     0.558                    0.321                    9.66                     0.255                    Size                    Linear                   Insect
           443                     0.56                     0.815                    9.82                     0.641                    Size                     Count                   Insect
           444                     0.56                     0.949                    8.97                     0.745                    Size                     Count                   Insect
           445                     0.56                     0.581                    81.31                    0.457                    Size                    Linear                   Mammal
           446                     0.56                     0.124                   104.55                    0.097                    Size                    Linear                   Mammal
           447                     0.565                    0.238                    16.96                    0.184                    Size                    Linear                    Plant
           448                     0.568                    0.125                    8.259                    0.095                    Size                    Linear                   Insect
           449                     0.569                    0.579                    9.357                    0.439                    Size                     Count                   Insect
           450                     0.57                     0.37                     11.71                    0.279                    Size                    Linear                    Plant
           451                     0.57                     0.97                     3.94                     0.732                    Size                    Weight                   Mammal
           452                     0.576                    1.039                   14.049                    0.765                    Size                    Weight                   Insect
           453                     0.58                     0.92                     9.55                     0.666                    Size                     Count                   Insect
           454                     0.58                     0.104                   193.87                    0.076                    Size                    Linear                   Mammal
           455                     0.58                     0.058                    19.15                    0.042                    Size                    Linear                    Bird
           456                     0.585                    2.14                     231.3                    1.518                    Size                    Weight                   Insect
           457                     0.586                    0.066                    13.69                    0.047                    Size                    Linear                    Bird
           458                     0.586                   140.138                   0.34                    99.006                    Size                    Volume                  Arachnid
           459                     0.588                    0.154                   71.247                    0.108                    Size                     Count                    Herp
           460                     0.59                     0.095                   149.17                    0.066                    Size                    Linear                   Mammal
           461                     0.59                     0.177                    69.55                    0.123                    Size                    Linear                   Mammal
           462                     0.59                     0.27                     84.79                    0.187                    Size                    Linear                   Mammal
           463                     0.59                     0.159                   107.53                    0.111                    Size                    Linear                   Mammal
           464                     0.59                     0.321                    6.839                    0.223                    Size                    Linear                   Insect
           465                     0.59                     0.045                    19.18                    0.031                    Size                    Linear                    Bird
           466                     0.59                     0.036                    19.02                    0.025                    Size                    Linear                    Bird
           467                     0.59                     0.031                    277.2                    0.021                    Size                    Linear                    Bird
           468                     0.59                     0.069                    112.2                    0.048                    Size                    Linear                    Bird
           469                     0.594                    0.128                    0.172                    0.088                    Size                    Linear                   Insect
           470                     0.598                    0.205                    42.44                    0.138                    Size                    Volume                    Bird
           471                      0.6                     0.084                   126.48                    0.056                    Size                    Linear                   Mammal
           472                      0.6                     0.467                    1686                     0.311                    Size                    Weight                    Bird
           473                     0.602                    6.305                    4.048                    4.169                    Size                    Linear                    Plant
           474                     0.606                    0.213                    24.04                    0.138                    Size                    Linear                    Plant
           475                     0.61                     0.066                    96.37                    0.042                    Size                    Linear                    Bird
           476                     0.61                     0.299                    69.57                    0.191                    Size                    Weight                   Mammal
           477                     0.615                    0.612                    9.395                    0.383                    Size                     Count                   Insect
           478                     0.619                    0.683                    5.94                     0.42                     Size                    Linear                    Plant
           479                     0.62                     0.032                     289                     0.02                     Size                    Linear                    Bird
           480                     0.62                     0.062                   18.648                    0.038                    Size                    Linear                    Bird
           481                     0.62                     4.05                     12.28                    2.482                    Size                    Weight                   Mammal
           482                     0.62                     0.82                     711.9                    0.503                    Size                    Weight                    Bird
           483                     0.627                   93.426                    0.34                    55.579                    Size                    Volume                  Arachnid
           484                     0.628                    1.276                   23.696                    0.756                    Size                    Weight                   Mammal
           485                     0.63                     0.748                    10.69                    0.439                    Size                    Linear                    Plant
           486                     0.631                    0.986                    6.48                     0.577                    Size                    Linear                    Plant
           487                     0.633                    0.077                    0.948                    0.045                    Size                    Linear                   Insect
           488                     0.633                    0.027                    78.12                    0.016                    Size                    Linear                    Bird
           489                     0.634                    0.042                    1.085                    0.024                    Size                    Linear                   Insect
           490                     0.638                    0.277                    10.28                    0.157                    Size                    Weight                    Bird
           491                     0.639                    3.087                     NA                      1.744                    Size                    Weight                    Plant
           492                     0.64                     0.061                    19.2                     0.034                    Size                    Linear                    Bird
           493                     0.642                    0.164                   32.506                    0.091                    Size                    Weight                    Bird
           494                     0.644                    0.954                    14.17                    0.527                    Size                    Linear                    Plant
           495                     0.65                     0.185                    94.52                     0.1                     Size                    Linear                   Mammal
           496                     0.65                     0.027                    1.617                    0.015                    Size                    Linear                   Insect
           497                     0.652                    0.031                    1.413                    0.017                    Size                    Linear                   Insect
           498                     0.655                    0.146                    9.193                    0.077                    Size                    Linear                   Insect
           499                     0.655                    1.156                    6.41                     0.609                    Size                    Linear                    Plant
           500                     0.66                     0.305                    95.17                    0.157                    Size                    Linear                   Mammal
           501                     0.661                    0.14                    80.982                    0.072                    Size                     Count                    Herp
           502                     0.663                    0.316                    17.61                    0.16                     Size                    Linear                    Plant
           503                     0.669                    0.091                   14.192                    0.045                    Size                    Linear                   Mammal
           504                     0.67                     0.215                    67.11                    0.106                    Size                    Linear                   Mammal
           505                     0.67                     0.391                    99.55                    0.193                    Size                    Linear                   Mammal
           506                     0.67                     0.343                    72.4                     0.169                    Size                    Linear                   Mammal
           507                     0.67                     0.423                    11.58                    0.208                    Size                    Linear                    Plant
           508                     0.67                     0.086                    80.94                    0.043                    Size                    Linear                    Bird
           509                     0.67                     0.089                    105.2                    0.044                    Size                    Linear                    Bird
           510                     0.67                     6.721                    0.537                    3.305                    Size                    Linear                   Insect
           511                     0.672                    0.107                     0.2                     0.052                    Size                    Linear                   Insect
           512                     0.68                     19.51                   18.712                    9.181                    Size                     Count                    Plant
           513                     0.68                     0.085                   142.78                    0.04                     Size                    Linear                   Mammal
           514                     0.68                     0.069                    465.3                    0.033                    Size                    Linear                    Bird
           515                     0.68                     0.638                    16.94                     0.3                     Size                    Weight                    Bird
           516                     0.681                    0.091                    19.55                    0.043                    Size                    Linear                    Bird
           517                     0.69                     0.385                    79.2                     0.173                    Size                    Linear                   Mammal
           518                     0.69                     0.055                    19.27                    0.025                    Size                    Linear                    Bird
           519                     0.692                    4.093                     NA                      1.822                    Size                    Weight                    Plant
           520                     0.702                    0.752                    8.986                    0.319                    Size                     Count                   Insect
           521                     0.705                    0.152                    1.281                    0.064                    Size                    Linear                  Bryozoan
           522                     0.705                    0.104                    1.113                    0.044                    Size                    Linear                   Insect
           523                     0.73                     2.395                    0.602                    0.886                    Size                    Weight                   Mammal
           524                     0.74                     0.247                    99.43                    0.087                    Size                    Linear                   Mammal
           525                     0.753                    1.806                    2.486                    0.593                    Size                  Transformed                 Plant
           526                     0.76                     0.047                    517.1                    0.015                    Size                    Linear                    Bird
           527                     0.767                   13.317                    8.885                    4.046                    Size                    Linear                   Mammal
           528                     0.772                    0.182                    1.099                    0.054                    Size                    Linear                  Bryozoan
           529                     0.776                    0.089                    16.85                    0.026                    Size                    Linear                    Bird
           530                     0.777                    0.116                    1.113                    0.033                    Size                    Linear                   Insect
           531                     0.789                    5.167                    1.011                    1.382                    Size                    Linear                    Plant
           532                     0.791                    0.65                     8.86                     0.172                    Size                     Count                   Insect
           533                     0.791                    0.057                    0.971                    0.015                    Size                    Linear                   Insect
           534                     0.818                    1.619                    0.985                    0.361                    Size                    Linear                  Bryozoan
           535                     0.82                       1                      10.56                    0.22                     Size                    Linear                   Mollusc
           536                     0.82                     0.051                   1834.1                    0.011                    Size                    Linear                   Insect
           537                     0.83                     0.168                    8.23                     0.034                    Size                    Linear                   Mammal
           538                     0.85                     0.674                    81.57                    0.119                    Size                    Linear                   Mammal
           539                     0.85                     1.21                     9.64                     0.214                    Size                    Linear                   Mollusc
           540                     0.85                     1.21                     10.35                    0.214                    Size                    Linear                   Mollusc
           541                     0.85                     2.759                    0.31                     0.487                    Size                    Weight                   Insect
           542                     0.85                     1.228                     NA                      0.217                    Size                    Weight                   Insect
           543                     0.86                     1.057                    1.85                     0.172                    Size                    Weight                   Mammal
           544                     0.87                     0.486                    79.26                    0.073                    Size                    Linear                   Mammal
           545                      0.9                     1.309                    14.79                    0.145                    Size                    Linear                    Plant
           546                      0.9                     1.21                     10.21                    0.134                    Size                    Linear                   Mollusc
           547                     0.909                    0.094                    16.02                    0.009                    Size                    Linear                    Bird
           548                     0.97                     2.43                     2.75                     0.075                    Size                    Weight                   Insect
           549                       1                      0.724                    8.636                      0                      Size                     Count                   Insect
           550                       1                      0.08                     0.99                       0                      Size                    Linear                   Insect
           551                       1                      2.152                    8.78                       0                      Size                    Linear                    Plant
           552                       1                     16.322                    80.79                      0                      Size                    Weight                   Mollusc
